strike,bid,ask,lastPrice,mid,volume,impliedVolatility,spot,expiry,trade_date,T,r
748.0,5.49,5.53,5.66,5.51,10.0,0.16919776123046876,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
749.0,5.07,5.11,5.58,5.09,94.0,0.16684793121337893,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
750.0,4.64,4.67,4.64,4.654999999999999,848.0,0.1638877557373047,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
751.0,4.38,4.41,4.32,4.395,15.0,0.1637351693725586,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
752.0,3.96,4.0,4.62,3.98,31.0,0.16068344207763674,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
753.0,3.71,3.75,4.0,3.73,44.0,0.16025620025634768,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
754.0,3.39,3.42,3.77,3.4050000000000002,9.0,0.15808947387695313,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
755.0,3.12,3.16,3.13,3.14,130.0,0.15692981750488283,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
756.0,2.91,2.95,3.09,2.93,21.0,0.15656361022949222,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
757.0,2.6,2.63,2.59,2.615,38.0,0.1536339520263672,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
758.0,2.46,2.5,2.83,2.48,19.0,0.15448843566894532,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
759.0,2.22,2.25,2.44,2.2350000000000003,56.0,0.15241326110839848,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
760.0,1.98,2.01,2.17,1.9949999999999999,322.0,0.15021601745605473,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
761.0,1.8,1.83,1.96,1.815,6.0,0.1491173956298828,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
762.0,1.63,1.66,1.65,1.645,34.0,0.14795773925781253,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
763.0,1.48,1.51,1.66,1.495,4.0,0.14710325561523438,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
764.0,1.33,1.36,1.64,1.3450000000000002,30.0,0.1458825646972656,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
765.0,1.2,1.22,1.4,1.21,138.0,0.14466187377929687,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
766.0,1.1,1.12,1.29,1.11,5.0,0.14447877014160154,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
767.0,0.98,1.0,1.08,0.99,18.0,0.14325807922363282,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
768.0,0.88,0.91,0.91,0.895,34.0,0.14283083740234376,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
769.0,0.78,0.8,0.78,0.79,39.0,0.14136600830078128,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
770.0,0.71,0.73,0.84,0.72,1437.0,0.1412439392089844,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
771.0,0.64,0.66,0.73,0.65,9.0,0.1408166973876953,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
772.0,0.57,0.59,0.7,0.58,83.0,0.1401453173828125,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
773.0,0.51,0.53,0.6,0.52,6.0,0.139657041015625,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
774.0,0.45,0.47,0.49,0.45999999999999996,5.0,0.13892462646484377,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
775.0,0.41,0.42,0.44,0.415,283.0,0.13843635009765626,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
776.0,0.36,0.38,0.38,0.37,38.0,0.13831428100585938,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
777.0,0.32,0.33,0.36,0.325,24.0,0.13721565917968753,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
778.0,0.28,0.29,0.31,0.28500000000000003,4.0,0.13648324462890626,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
779.0,0.25,0.26,0.24,0.255,42.0,0.1362391064453125,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
780.0,0.23,0.24,0.26,0.235,50.0,0.13672738281250002,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
781.0,0.21,0.22,0.22,0.215,3.0,0.13721565917968753,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
782.0,0.18,0.2,0.11,0.19,95.0,0.1373377282714844,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
783.0,0.16,0.18,0.15,0.16999999999999998,25.0,0.13721565917968753,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
784.0,0.16,0.17,0.18,0.165,32.0,0.13831428100585938,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
785.0,0.14,0.16,0.16,0.15000000000000002,9.0,0.13916876464843753,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
786.0,0.13,0.14,0.14,0.135,8.0,0.13868048828125001,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
787.0,0.11,0.13,0.14,0.12,3.0,0.13916876464843753,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
788.0,0.1,0.12,0.13,0.11,99.0,0.13990117919921874,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
789.0,0.1,0.11,0.11,0.10500000000000001,62.0,0.1401453173828125,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
790.0,0.1,0.11,0.11,0.10500000000000001,68.0,0.1420984228515625,737.0499877929688,2026-06-30,2026-06-09,0.057534246575342465,0.045
738.0,11.04,11.1,11.81,11.07,209.0,0.19100235275268557,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
739.0,10.57,10.61,10.6,10.59,222.0,0.18994950683593753,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
740.0,10.01,10.02,10.07,10.015,177.0,0.1873250213623047,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
741.0,9.66,9.68,8.99,9.67,4.0,0.1880269186401367,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
742.0,8.97,9.03,9.43,9.0,14.0,0.18418174224853517,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
743.0,8.56,8.61,8.47,8.585,16.0,0.18338829315185545,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
744.0,8.05,8.1,8.92,8.075,37.0,0.18116053222656248,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
745.0,7.53,7.58,7.54,7.555,460.0,0.1785360467529297,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
746.0,7.08,7.13,7.49,7.105,20.0,0.176766044921875,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
747.0,6.73,6.78,7.51,6.755000000000001,6.0,0.17627776855468752,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
748.0,6.26,6.31,6.64,6.285,365.0,0.17374483489990233,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
749.0,5.86,5.91,5.88,5.885,8.0,0.17209690216064455,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
750.0,5.46,5.47,5.8,5.465,1176.0,0.1695639685058594,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
751.0,5.18,5.22,5.38,5.199999999999999,19.0,0.16983862396240235,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
752.0,4.8,4.84,5.23,4.82,102.0,0.16782448394775396,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
753.0,4.41,4.46,5.05,4.4350000000000005,24.0,0.1655051712036133,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
754.0,4.11,4.15,4.53,4.130000000000001,335.0,0.16416241119384767,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
755.0,3.8,3.84,3.81,3.82,93.0,0.16257551300048828,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
756.0,3.56,3.6,3.84,3.58,615.0,0.16199568481445312,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
757.0,3.29,3.33,3.79,3.31,5.0,0.1606529248046875,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
758.0,3.08,3.11,3.12,3.0949999999999998,25.0,0.16004257934570312,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
759.0,2.8,2.83,2.9,2.815,5.0,0.15799792205810548,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
760.0,2.58,2.62,2.59,2.6,1248.0,0.15711292114257813,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
761.0,2.35,2.39,2.29,2.37,1.0,0.15552602294921875,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
762.0,2.14,2.18,2.4,2.16,3.0,0.1540917111206055,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
763.0,2.01,2.04,2.03,2.025,20.0,0.15406119384765626,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
764.0,1.82,1.85,1.97,1.835,12.0,0.15256584747314456,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
765.0,1.63,1.66,2.0,1.645,31.0,0.15076532836914067,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
766.0,1.51,1.54,1.48,1.525,5.0,0.1505211901855469,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
767.0,1.33,1.37,1.58,1.35,3.0,0.14862911926269531,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
768.0,1.22,1.25,1.04,1.2349999999999999,7.0,0.14789670471191407,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
769.0,1.11,1.14,1.17,1.125,11.0,0.14722532470703126,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
770.0,1.0,1.01,1.09,1.005,129.0,0.14563842651367187,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
771.0,0.9,0.92,0.92,0.91,48.0,0.14508911560058596,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
772.0,0.81,0.84,0.97,0.825,18.0,0.14466187377929687,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
773.0,0.72,0.75,0.87,0.735,1.0,0.14368532104492188,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
774.0,0.65,0.68,0.78,0.665,7.0,0.1431970446777344,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
775.0,0.59,0.61,0.63,0.6,8.0,0.1424035955810547,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
776.0,0.53,0.56,0.43,0.545,64.0,0.1424035955810547,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
777.0,0.47,0.49,0.54,0.48,2.0,0.14112187011718752,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
778.0,0.42,0.44,0.46,0.43,5.0,0.14063359375,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
779.0,0.38,0.4,0.45,0.39,6.0,0.14038945556640625,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
780.0,0.34,0.36,0.43,0.35,25.0,0.14002324829101562,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
781.0,0.31,0.32,0.33,0.315,56.0,0.13941290283203128,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
782.0,0.28,0.29,0.27,0.28500000000000003,6.0,0.13941290283203128,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
783.0,0.25,0.27,0.24,0.26,11.0,0.13990117919921874,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
784.0,0.23,0.24,0.24,0.235,5.0,0.13941290283203128,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
785.0,0.21,0.22,0.22,0.215,12.0,0.139657041015625,737.0499877929688,2026-07-02,2026-06-09,0.06301369863013699,0.045
